time,uav_id,x,y,z
30,0,115.0,10,203.0
30,1,165.0,20,203.0
30,2,215.0,30,203.0
31,0,115.5,10,203.1
31,1,165.5,20,203.1
31,2,215.5,30,203.1
32,0,116.0,10,203.2
32,1,166.0,20,203.2
32,2,216.0,30,203.2
33,0,116.5,10,203.3
33,1,166.5,20,203.3
33,2,216.5,30,203.3
34,0,117.0,10,203.4
34,1,167.0,20,203.4
34,2,217.0,30,203.4
35,0,117.5,10,203.5
35,1,167.5,20,203.5
35,2,217.5,30,203.5
36,0,118.0,10,203.6
36,1,168.0,20,203.6
36,2,218.0,30,203.6
37,0,118.5,10,203.7
37,1,168.5,20,203.7
37,2,218.5,30,203.7
38,0,119.0,10,203.8
38,1,169.0,20,203.8
38,2,219.0,30,203.8
39,0,119.5,10,203.9
39,1,169.5,20,203.9
39,2,219.5,30,203.9
40,0,120.0,10,204.0
40,1,170.0,20,204.0
40,2,220.0,30,204.0
41,0,120.5,10,204.1
41,1,170.5,20,204.1
41,2,220.5,30,204.1
42,0,121.0,10,204.2
42,1,171.0,20,204.2
42,2,221.0,30,204.2
43,0,121.5,10,204.3
43,1,171.5,20,204.3
43,2,221.5,30,204.3
44,0,122.0,10,204.4
44,1,172.0,20,204.4
44,2,222.0,30,204.4
45,0,122.5,10,204.5
45,1,172.5,20,204.5
45,2,222.5,30,204.5
46,0,123.0,10,204.6
46,1,173.0,20,204.6
46,2,223.0,30,204.6
47,0,123.5,10,204.7
47,1,173.5,20,204.7
47,2,223.5,30,204.7
48,0,124.0,10,204.8
48,1,174.0,20,204.8
48,2,224.0,30,204.8
49,0,124.5,10,204.9
49,1,174.5,20,204.9
49,2,224.5,30,204.9
50,0,125.0,10,205.0
50,1,175.0,20,205.0
50,2,225.0,30,205.0
51,0,125.5,10,205.1
51,1,175.5,20,205.1
51,2,225.5,30,205.1
52,0,126.0,10,205.2
52,1,176.0,20,205.2
52,2,226.0,30,205.2
53,0,126.5,10,205.3
53,1,176.5,20,205.3
53,2,226.5,30,205.3
54,0,127.0,10,205.4
54,1,177.0,20,205.4
54,2,227.0,30,205.4
55,0,127.5,10,205.5
55,1,177.5,20,205.5
55,2,227.5,30,205.5
56,0,128.0,10,205.6
56,1,178.0,20,205.6
56,2,228.0,30,205.6
57,0,128.5,10,205.7
57,1,178.5,20,205.7
57,2,228.5,30,205.7
58,0,129.0,10,205.8
58,1,179.0,20,205.8
58,2,229.0,30,205.8
59,0,129.5,10,205.9
59,1,179.5,20,205.9
59,2,229.5,30,205.9
60,0,130.0,10,206.0
60,1,180.0,20,206.0
60,2,230.0,30,206.0
61,0,130.5,10,206.1
61,1,180.5,20,206.1
61,2,230.5,30,206.1
62,0,131.0,10,206.2
62,1,181.0,20,206.2
62,2,231.0,30,206.2
63,0,131.5,10,206.3
63,1,181.5,20,206.3
63,2,231.5,30,206.3
64,0,132.0,10,206.4
64,1,182.0,20,206.4
64,2,232.0,30,206.4
65,0,132.5,10,206.5
65,1,182.5,20,206.5
65,2,232.5,30,206.5
66,0,133.0,10,206.6
66,1,183.0,20,206.6
66,2,233.0,30,206.6
67,0,133.5,10,206.7
67,1,183.5,20,206.7
67,2,233.5,30,206.7
68,0,134.0,10,206.8
68,1,184.0,20,206.8
68,2,234.0,30,206.8
69,0,134.5,10,206.9
69,1,184.5,20,206.9
69,2,234.5,30,206.9
70,0,135.0,10,207.0
70,1,185.0,20,207.0
70,2,235.0,30,207.0
71,0,135.5,10,207.1
71,1,185.5,20,207.1
71,2,235.5,30,207.1
72,0,136.0,10,207.2
72,1,186.0,20,207.2
72,2,236.0,30,207.2
73,0,136.5,10,207.3
73,1,186.5,20,207.3
73,2,236.5,30,207.3
74,0,137.0,10,207.4
74,1,187.0,20,207.4
74,2,237.0,30,207.4
75,0,137.5,10,207.5
75,1,187.5,20,207.5
75,2,237.5,30,207.5
76,0,138.0,10,207.6
76,1,188.0,20,207.6
76,2,238.0,30,207.6
77,0,138.5,10,207.7
77,1,188.5,20,207.7
77,2,238.5,30,207.7
78,0,139.0,10,207.8
78,1,189.0,20,207.8
78,2,239.0,30,207.8
79,0,139.5,10,207.9
79,1,189.5,20,207.9
79,2,239.5,30,207.9
80,0,140.0,10,208.0
80,1,190.0,20,208.0
80,2,240.0,30,208.0
81,0,140.5,10,208.1
81,1,190.5,20,208.1
81,2,240.5,30,208.1
82,0,141.0,10,208.2
82,1,191.0,20,208.2
82,2,241.0,30,208.2
83,0,141.5,10,208.3
83,1,191.5,20,208.3
83,2,241.5,30,208.3
84,0,142.0,10,208.4
84,1,192.0,20,208.4
84,2,242.0,30,208.4
85,0,142.5,10,208.5
85,1,192.5,20,208.5
85,2,242.5,30,208.5
86,0,143.0,10,208.6
86,1,193.0,20,208.6
86,2,243.0,30,208.6
87,0,143.5,10,208.7
87,1,193.5,20,208.7
87,2,243.5,30,208.7
88,0,144.0,10,208.8
88,1,194.0,20,208.8
88,2,244.0,30,208.8
89,0,144.5,10,208.9
89,1,194.5,20,208.9
89,2,244.5,30,208.9
90,0,145.0,10,209.0
90,1,195.0,20,209.0
90,2,245.0,30,209.0
91,0,145.5,10,209.1
91,1,195.5,20,209.1
91,2,245.5,30,209.1
92,0,146.0,10,209.2
92,1,196.0,20,209.2
92,2,246.0,30,209.2
93,0,146.5,10,209.3
93,1,196.5,20,209.3
93,2,246.5,30,209.3
94,0,147.0,10,209.4
94,1,197.0,20,209.4
94,2,247.0,30,209.4
95,0,147.5,10,209.5
95,1,197.5,20,209.5
95,2,247.5,30,209.5
96,0,148.0,10,209.6
96,1,198.0,20,209.6
96,2,248.0,30,209.6
97,0,148.5,10,209.7
97,1,198.5,20,209.7
97,2,248.5,30,209.7
98,0,149.0,10,209.8
98,1,199.0,20,209.8
98,2,249.0,30,209.8
99,0,149.5,10,209.9
99,1,199.5,20,209.9
99,2,249.5,30,209.9
